original_order,Image_name,prop_ungerminated,prop_chlorotic,,number_seeds,ungerminated_seeds,chlorotic_seedlings,anything_else_interesting,date
339,1-A-0446.jpg,0.033333333,0,,30,1,0,,1/1/2021
340,1-A-0447.jpg,0,0,,30,0,0,,1/1/2021
341,1-A-0448.jpg,0,0,,30,0,0,,1/1/2021
342,1-A-0449.jpg,0.033333333,0,,30,1,0,,1/1/2021
343,1-A-0450.jpg,0.033333333,0.166666667,,30,1,5,white,1/1/2021
344,1-A-0451.jpg,0,0,,30,0,0,,1/1/2021
345,1-A-0452.jpg,0.083333333,0,,12,1,0,,1/1/2021
346,1-A-0453.jpg,0.066666667,0,,30,2,0,,1/1/2021
347,1-A-0454.jpg,0.133333333,0.2,,30,4,6,,1/1/2021
348,1-A-0459.jpg,0.166666667,0,,30,5,0,,1/1/2021
349,1-A-0460.jpg,0,0,,28,0,0,,1/1/2021
350,1-A-0461.jpg,0,0,,30,0,0,,1/1/2021
351,1-A-0462.jpg,0.2,0,,25,5,0,,1/1/2021
352,1-A-0465.jpg,0.533333333,0,,30,16,0,,1/1/2021
353,1-A-0466.jpg,0.6,0,,30,18,0,,1/1/2021
354,1-A-0468.jpg,0.466666667,0,,30,14,0,,1/1/2021
355,1-A-0470.jpg,0.033333333,0,,30,1,0,,1/1/2021
356,1-A-0471.jpg,0.2,0,,30,6,0,,1/1/2021
357,1-A-0472.jpg,0.7,0,,30,21,0,,1/1/2021
358,1-A-0473.jpg,0,0,,30,0,0,,1/1/2021
359,1-A-0474.jpg,0,0,,30,0,0,,1/1/2021
360,1-A-0475.jpg,0,0,,30,0,0,,1/1/2021
361,1-A-0476.jpg,0.466666667,0,,30,14,0,,1/1/2021
362,1-A-0477.jpg,0.133333333,0,,30,4,0,,1/1/2021
363,1-A-0478.jpg,0.1,0,,30,3,0,,1/1/2021
364,1-A-0479.jpg,0,0,,30,0,0,,1/1/2021
365,1-A-0480.jpg,0.033333333,0,,30,1,0,,1/1/2021
366,1-A-0482.jpg,0.066666667,0,,30,2,0,,1/1/2021
367,1-A-0483.jpg,0.1,0,,30,3,0,,1/1/2021
368,1-A-0484.jpg,0.233333333,0,,30,7,0,,1/1/2021
369,1-A-0485.jpg,0.3,0,,30,9,0,,1/1/2021
370,1-A-0486.jpg,0.033333333,0,,30,1,0,,1/1/2021
371,1-A-0487.jpg,0.366666667,0,,30,11,0,,1/1/2021
372,1-A-0488.jpg,0.2,0,,30,6,0,,1/1/2021
373,1-A-0489.jpg,0.3,0,,30,9,0,,1/1/2021
